"doc_id","in_db","status_id","old_status_id","unaccounted_status","active","region","report_check_act_link","report_date","report_project_date_start","report_project_date_end","url"
"23661","True","5","","","","Москва","http://195.161.118.19/fdgko/pers_stor/73862/69741/Москва 155 19.04.2023.pdf","","","","https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_ib_ais_fdgko/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8zi3QNNXA2dTQy93UOdzAwcPQO8nMI8nQ0MDMz1w9EUBBqaAxU4ehsaG7obGPgb6keRph9DAUi_AQ7gaADUH4VmBaoLnI0IKAA5kZAlBbmhEQaZnooANTW-bQ!!/p0/IZ7_GQ4E1C41KGUB60AIPJBVIC0080=CZ6_GQ4E1C41KGUB60AIPJBVIC0007=MEcontroller!null==/?restoreSessionState=true&action=viewProcedure&id=23661"
"23501","True","4","","","","Ханты-Мансийский АО","http://195.161.118.19/fdgko/pers_stor/73523/69322/ХМАО_13-Р-3159 от 20.12.2021.pdf","01.01.2023","2023-08-16 00:00:00","2023-09-14 00:00:00","https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_ib_ais_fdgko/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8zi3QNNXA2dTQy93UOdzAwcPQO8nMI8nQ0MDMz1w9EUBBqaAxU4ehsaG7obGPgb6keRph9DAUi_AQ7gaADUH4VmBaoLnI0IKAA5kZAlBbmhEQaZnooANTW-bQ!!/p0/IZ7_GQ4E1C41KGUB60AIPJBVIC0080=CZ6_GQ4E1C41KGUB60AIPJBVIC0007=MEcontroller!null==/?restoreSessionState=true&action=viewProcedure&id=23501"
"23641","True","1","","","","Челябинская область","http://195.161.118.19/fdgko/pers_stor/73842/69721/Челябинская область 24.05.2022 79-П.pdf","01.01.2023","","","https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_ib_ais_fdgko/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8zi3QNNXA2dTQy93UOdzAwcPQO8nMI8nQ0MDMz1w9EUBBqaAxU4ehsaG7obGPgb6keRph9DAUi_AQ7gaADUH4VmBaoLnI0IKAA5kZAlBbmhEQaZnooANTW-bQ!!/p0/IZ7_GQ4E1C41KGUB60AIPJBVIC0080=CZ6_GQ4E1C41KGUB60AIPJBVIC0007=MEcontroller!null==/?restoreSessionState=true&action=viewProcedure&id=23641"
"23642","True","4","","","","Удмуртская Республика","http://195.161.118.19/fdgko/pers_stor/73843/69722/110-р с изм.197-р и 1417-р.rar","01.01.2023","2023-08-29 00:00:00","2023-09-27 00:00:00","https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_ib_ais_fdgko/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8zi3QNNXA2dTQy93UOdzAwcPQO8nMI8nQ0MDMz1w9EUBBqaAxU4ehsaG7obGPgb6keRph9DAUi_AQ7gaADUH4VmBaoLnI0IKAA5kZAlBbmhEQaZnooANTW-bQ!!/p0/IZ7_GQ4E1C41KGUB60AIPJBVIC0080=CZ6_GQ4E1C41KGUB60AIPJBVIC0007=MEcontroller!null==/?restoreSessionState=true&action=viewProcedure&id=23642"
"23421","True","4","","","","Ярославская область","http://195.161.118.19/fdgko/pers_stor/73367/69046/Ярославская_07.04.2022_13-н.pdf","01.01.2023","2023-09-02 00:00:00","2023-09-16 00:00:00","https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_ib_ais_fdgko/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8zi3QNNXA2dTQy93UOdzAwcPQO8nMI8nQ0MDMz1w9EUBBqaAxU4ehsaG7obGPgb6keRph9DAUi_AQ7gaADUH4VmBaoLnI0IKAA5kZAlBbmhEQaZnooANTW-bQ!!/p0/IZ7_GQ4E1C41KGUB60AIPJBVIC0080=CZ6_GQ4E1C41KGUB60AIPJBVIC0007=MEcontroller!null==/?restoreSessionState=true&action=viewProcedure&id=23421"
"23441","True","4","","","","Республика Алтай","http://195.161.118.19/fdgko/pers_stor/73382/69101/Республика Алтай 25.05.2022 189-од.pdf","01.01.2023","2023-08-08 00:00:00","2023-09-06 00:00:00","https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_ib_ais_fdgko/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8zi3QNNXA2dTQy93UOdzAwcPQO8nMI8nQ0MDMz1w9EUBBqaAxU4ehsaG7obGPgb6keRph9DAUi_AQ7gaADUH4VmBaoLnI0IKAA5kZAlBbmhEQaZnooANTW-bQ!!/p0/IZ7_GQ4E1C41KGUB60AIPJBVIC0080=CZ6_GQ4E1C41KGUB60AIPJBVIC0007=MEcontroller!null==/?restoreSessionState=true&action=viewProcedure&id=23441"
"23481","True","7","","","","Омская область","http://195.161.118.19/fdgko/pers_stor/73422/69141/Омская область 3-п от 22.01.2021.pdf","01.01.2023","2023-07-24 00:00:00","2023-08-22 00:00:00","https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_ib_ais_fdgko/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8zi3QNNXA2dTQy93UOdzAwcPQO8nMI8nQ0MDMz1w9EUBBqaAxU4ehsaG7obGPgb6keRph9DAUi_AQ7gaADUH4VmBaoLnI0IKAA5kZAlBbmhEQaZnooANTW-bQ!!/p0/IZ7_GQ4E1C41KGUB60AIPJBVIC0080=CZ6_GQ4E1C41KGUB60AIPJBVIC0007=MEcontroller!null==/?restoreSessionState=true&action=viewProcedure&id=23481"
"23140","True","1","","","","Ульяновская область","http://195.161.118.19/fdgko/pers_stor/73347/69061/Ульяновская обл 28.03.2022 700-од.pdf","01.01.2023","","","https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_ib_ais_fdgko/!ut/p/z1/lZDfC4IwEMf_o-5Wkr2ahFhQllS6l1h1yMA52WZ_f9tjhUj3dtzn-4MDDhXwTrxkI5zUnWj9XvPlLTtGG5ZGbJed10tM8mK7vuQpIsZw_QKOLPZAsmMLliEeGPD_9D9A0OPIJOj1_Cvis0E6nwBCxamQ2peMR0uuEMrg8dCdM7ptyUDdSutO1GvjbDgZsk4bKsla_9fSCUdQOzNQOPZGP-g5GCpEI7tm1ouG9oO6B5859OpcoSyUWi3UG9Vg13c!/p0/IZ7_GQ4E1C41KGUB60AIPJBVIC0080=CZ6_GQ4E1C41KGUB60AIPJBVIC0007=MEcontroller!null==/?restoreSessionState=true&action=viewProcedure&id=23140"
"23362","True","1","","","","Чеченская Республика","http://195.161.118.19/fdgko/pers_stor/73365/69044/Чеченская Республика 14.04.2022 408-ТИ.pdf","01.01.2023","","","https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_ib_ais_fdgko/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8zi3QNNXA2dTQy93UOdzAwcPQO8nMI8nQ0MDMz1w9EUBBqaAxU4ehsaG7obGPgb6keRph9DAUi_AQ7gaADUH4VmBaoLnI0IKAA5kZAlBbmhEQaZnooANTW-bQ!!/p0/IZ7_GQ4E1C41KGUB60AIPJBVIC0080=CZ6_GQ4E1C41KGUB60AIPJBVIC0007=MEcontroller!null==/?restoreSessionState=true&action=viewProcedure&id=23362"
"23135","True","4","","","","Республика Саха (Якутия)","http://195.161.118.19/fdgko/pers_stor/73342/68981/Республика Саха_Якутия Р-111 от 20.01.2022.pdf","01.01.2023","2023-08-09 00:00:00","2023-09-07 00:00:00","https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_ib_ais_fdgko/!ut/p/z1/lZDfC4IwEMf_o-5Wkr2ahFhQllS6l1h1yMA52WZ_f9tjhUj3dtzn-4MDDhXwTrxkI5zUnWj9XvPlLTtGG5ZGbJed10tM8mK7vuQpIsZw_QKOLPZAsmMLliEeGPD_9D9A0OPIJOj1_Cvis0E6nwBCxamQ2peMR0uuEMrg8dCdM7ptyUDdSutO1GvjbDgZsk4bKsla_9fSCUdQOzNQOPZGP-g5GCpEI7tm1ouG9oO6B5859OpcoSyUWi3UG9Vg13c!/p0/IZ7_GQ4E1C41KGUB60AIPJBVIC0080=CZ6_GQ4E1C41KGUB60AIPJBVIC0007=MEcontroller!null==/?restoreSessionState=true&action=viewProcedure&id=23135"
"23281","True","7","","","","Республика Северная Осетия","http://195.161.118.19/fdgko/pers_stor/73315/68834/Республика Северная Осетия-Алания 13-о_д от 23.05.2022.pdf","01.01.2023","2023-07-05 00:00:00","2023-08-03 00:00:00","https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_ib_ais_fdgko/!ut/p/z1/lZDfC4IwEMf_o-5Wkr2ahFhQllS6l1h1yMA52WZ_f9tjhUj3dtzn-4MDDhXwTrxkI5zUnWj9XvPlLTtGG5ZGbJed10tM8mK7vuQpIsZw_QKOLPZAsmMLliEeGPD_9D9A0OPIJOj1_Cvis0E6nwBCxamQ2peMR0uuEMrg8dCdM7ptyUDdSutO1GvjbDgZsk4bKsla_9fSCUdQOzNQOPZGP-g5GCpEI7tm1ouG9oO6B5859OpcoSyUWi3UG9Vg13c!/p0/IZ7_GQ4E1C41KGUB60AIPJBVIC0080=CZ6_GQ4E1C41KGUB60AIPJBVIC0007=MEcontroller!null==/?restoreSessionState=true&action=viewProcedure&id=23281"
