"doc_id","in_db","status_id","old_status_id","unaccounted_status","active","region","report_check_act_link","report_date","report_project_date_start","report_project_date_end","url"
"23661","True","5","","","","Москва","http://195.161.118.19/fdgko/pers_stor/73862/69741/Москва 155 19.04.2023.pdf","","","","https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_ib_ais_fdgko/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8zi3QNNXA2dTQy93UOdzAwcPQO8nMI8nQ0MDMz1w9EUBBqaAxU4ehsaG7obGPgb6keRph9DAUi_AQ7gaADUH4VmBaoLnI0IKAA5kZAlBbmhEQaZnooANTW-bQ!!/p0/IZ7_GQ4E1C41KGUB60AIPJBVIC0080=CZ6_GQ4E1C41KGUB60AIPJBVIC0007=MEcontroller!null==/?restoreSessionState=true&action=viewProcedure&id=23661"
"23641","True","1","","","","Челябинская область","http://195.161.118.19/fdgko/pers_stor/73842/69721/Челябинская область 24.05.2022 79-П.pdf","01.01.2023","","","https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_ib_ais_fdgko/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8zi3QNNXA2dTQy93UOdzAwcPQO8nMI8nQ0MDMz1w9EUBBqaAxU4ehsaG7obGPgb6keRph9DAUi_AQ7gaADUH4VmBaoLnI0IKAA5kZAlBbmhEQaZnooANTW-bQ!!/p0/IZ7_GQ4E1C41KGUB60AIPJBVIC0080=CZ6_GQ4E1C41KGUB60AIPJBVIC0007=MEcontroller!null==/?restoreSessionState=true&action=viewProcedure&id=23641"
"23642","True","1","","","","Удмуртская Республика","http://195.161.118.19/fdgko/pers_stor/73843/69722/110-р с изм.197-р и 1417-р.rar","01.01.2023","","","https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_ib_ais_fdgko/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8zi3QNNXA2dTQy93UOdzAwcPQO8nMI8nQ0MDMz1w9EUBBqaAxU4ehsaG7obGPgb6keRph9DAUi_AQ7gaADUH4VmBaoLnI0IKAA5kZAlBbmhEQaZnooANTW-bQ!!/p0/IZ7_GQ4E1C41KGUB60AIPJBVIC0080=CZ6_GQ4E1C41KGUB60AIPJBVIC0007=MEcontroller!null==/?restoreSessionState=true&action=viewProcedure&id=23642"
"23381","True","1","","","","Чукотский АО","http://195.161.118.19/fdgko/pers_stor/73349/69081/ЧАО_17.06.2022_66-р.pdf","01.01.2023","","","https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_ib_ais_fdgko/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8zi3QNNXA2dTQy93UOdzAwcPQO8nMI8nQ0MDMz1w9EUBBqaAxU4ehsaG7obGPgb6keRph9DAUi_AQ7gaADUH4VmBaoLnI0IKAA5kZAlBbmhEQaZnooANTW-bQ!!/p0/IZ7_GQ4E1C41KGUB60AIPJBVIC0080=CZ6_GQ4E1C41KGUB60AIPJBVIC0007=MEcontroller!null==/?restoreSessionState=true&action=viewProcedure&id=23381"
"23401","True","4","1","","","Ямало-Ненецкий АО","http://195.161.118.19/fdgko/pers_stor/73366/69045/ЯНАО 4-о 22.04.2022.pdf","01.01.2023","19.07.2023","17.08.2023","https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_ib_ais_fdgko/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8zi3QNNXA2dTQy93UOdzAwcPQO8nMI8nQ0MDMz1w9EUBBqaAxU4ehsaG7obGPgb6keRph9DAUi_AQ7gaADUH4VmBaoLnI0IKAA5kZAlBbmhEQaZnooANTW-bQ!!/p0/IZ7_GQ4E1C41KGUB60AIPJBVIC0080=CZ6_GQ4E1C41KGUB60AIPJBVIC0007=MEcontroller!null==/?restoreSessionState=true&action=viewProcedure&id=23401"
"23421","True","4","1","","","Ярославская область","http://195.161.118.19/fdgko/pers_stor/73367/69046/Ярославская_07.04.2022_13-н.pdf","01.01.2023","27.07.2023","25.08.2023","https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_ib_ais_fdgko/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8zi3QNNXA2dTQy93UOdzAwcPQO8nMI8nQ0MDMz1w9EUBBqaAxU4ehsaG7obGPgb6keRph9DAUi_AQ7gaADUH4VmBaoLnI0IKAA5kZAlBbmhEQaZnooANTW-bQ!!/p0/IZ7_GQ4E1C41KGUB60AIPJBVIC0080=CZ6_GQ4E1C41KGUB60AIPJBVIC0007=MEcontroller!null==/?restoreSessionState=true&action=viewProcedure&id=23421"
"23441","True","1","","","","Республика Алтай","http://195.161.118.19/fdgko/pers_stor/73382/69101/Республика Алтай 25.05.2022 189-од.pdf","01.01.2023","","","https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_ib_ais_fdgko/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8zi3QNNXA2dTQy93UOdzAwcPQO8nMI8nQ0MDMz1w9EUBBqaAxU4ehsaG7obGPgb6keRph9DAUi_AQ7gaADUH4VmBaoLnI0IKAA5kZAlBbmhEQaZnooANTW-bQ!!/p0/IZ7_GQ4E1C41KGUB60AIPJBVIC0080=CZ6_GQ4E1C41KGUB60AIPJBVIC0007=MEcontroller!null==/?restoreSessionState=true&action=viewProcedure&id=23441"
"23481","True","4","1","","","Омская область","http://195.161.118.19/fdgko/pers_stor/73422/69141/Омская область 3-п от 22.01.2021.pdf","01.01.2023","24.07.2023","22.08.2023","https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_ib_ais_fdgko/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8zi3QNNXA2dTQy93UOdzAwcPQO8nMI8nQ0MDMz1w9EUBBqaAxU4ehsaG7obGPgb6keRph9DAUi_AQ7gaADUH4VmBaoLnI0IKAA5kZAlBbmhEQaZnooANTW-bQ!!/p0/IZ7_GQ4E1C41KGUB60AIPJBVIC0080=CZ6_GQ4E1C41KGUB60AIPJBVIC0007=MEcontroller!null==/?restoreSessionState=true&action=viewProcedure&id=23481"
"23140","True","1","","","","Ульяновская область","http://195.161.118.19/fdgko/pers_stor/73347/69061/Ульяновская обл 28.03.2022 700-од.pdf","01.01.2023","","","https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_ib_ais_fdgko/!ut/p/z1/lZDfC4IwEMf_o-5Wkr2ahFhQllS6l1h1yMA52WZ_f9tjhUj3dtzn-4MDDhXwTrxkI5zUnWj9XvPlLTtGG5ZGbJed10tM8mK7vuQpIsZw_QKOLPZAsmMLliEeGPD_9D9A0OPIJOj1_Cvis0E6nwBCxamQ2peMR0uuEMrg8dCdM7ptyUDdSutO1GvjbDgZsk4bKsla_9fSCUdQOzNQOPZGP-g5GCpEI7tm1ouG9oO6B5859OpcoSyUWi3UG9Vg13c!/p0/IZ7_GQ4E1C41KGUB60AIPJBVIC0080=CZ6_GQ4E1C41KGUB60AIPJBVIC0007=MEcontroller!null==/?restoreSessionState=true&action=viewProcedure&id=23140"
"23129","True","1","","","","Костромская область","http://195.161.118.19/fdgko/pers_stor/73307/68826/Костромская область 46_од от 04.05.2022.pdf","01.01.2023","","","https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_ib_ais_fdgko/!ut/p/z1/lZDbCsIwDIbfyKRuOG_nkKGCToeH9UaqhlFY19F2Pr_tpZMxzF3I9x8IcLgBb8Vb1sJJ3YrG7xVf3PNjvGZZzHb5ebXAdFNsV5dNhogJXAfAkSUeSHcsYjnigQH_T_8DBD2OTIpezwcR3w2y-QQQKk6FVL5kMlpyiVAGj6dundFNQwaqRlp3ok4bZ8PJkHXaUEnW-r-WTjiCypmewrEz-kmv3lAhatnWs07UtO_VI_jE0KnzDWWh1DJSH2MrFY8!/p0/IZ7_GQ4E1C41KGUB60AIPJBVIC0080=CZ6_GQ4E1C41KGUB60AIPJBVIC0007=MEcontroller!null==/?restoreSessionState=true&action=viewProcedure&id=23129"
